message	predicted
I want Nike or adidas or Puma women t-shirt	shopping
hey I want to set reminder	reminders
If any train in afternoon??	travel
Find adidas adispree shoes size 7	shopping
plan	travel
Hey, can you help me find an electrician?{task}	travel
Actually i want to plan a trip for my diwali vacation	travel
Please book same pnr Mumbai to Dubai	travel
show me deals on Leather bags	shopping
I want to cancel this reminder	reminders
nearest Mi Service Center	nearby
Cabs!!??	travel
Need help for pest control	travel
Laptop repair?	shopping
Tourist places near mongas hotel in Dalhousie	travel
Pizza mania veg	food
Coimbatore  bus	travel
Can you book the tickets	travel
running status of train no 14055	travel
Best deal for tenda single antenna router	shopping
Motorola G4 deals	shopping
I had asked for flight tickets reminders every 2 days	reminders
I want to go Vijayawada can u help me to travel	travel
Yes plz set drinking water reminder..after every 30 min frm rite nw itself..	reminders
Anything on jet airways flight ?	travel
Acham yenbathu madamaya da film release date ?	movies
My tp link router is not working can u help me in locating the nearest tp link service center	travel
How much does the Apple iPhone 6 extended warranty costs?	shopping
Hey there.  I bought a steam iron from snapdeal	shopping
I am looking for an accommodation in South Goa	travel
Telenor plans for 1miniute 25p	travel
Can u give me the list of movies which r released in recent time?	movies
Adidas flip flop	shopping
Help with Comedy visarjan 2 tickets please.	travel
Set alarm at 10:57 for tatkal ticket booking	travel
I was to order something from domino's	food
I want to order famzi ones	food
Pls remove my existing reminder of every 1 hour water	reminders
Find me the CCD cafes near me	nearby
I want to know about sleeper seats in Rishabh and Ashok travels	travel
When the time it will departure from nadikude	travel
I going to purchase Honda activa	shopping
Any good restaurant near by lalpur ranchi	food
And set me a reminder for tomorrow at 6.45 pm meeting with Dr. Nilesh talwadker at his clinic in panjim	reminders
Want subway	food
Can u plz find indian bank in andheri	nearby
Check in	travel
AC  or non AC couch	travel
I want to book a ticket from Diphu to chapormukh	travel
Wake me up	reminders
Checking menu	food
Ratlam to mumbai train	travel
Route please	travel
Can you order me a burger	food
Can u tell me location of airtel service centre from batla house	nearby
It must have stainless steel strap	shopping
Do I need internet to receive wake up call??	reminders
Hi, can you book a table for me at Grid restaurant kolkata	travel
I called up the hotel to check n the rooms r available	travel
Trip to andaman and nicobar for 7 days would cost how much?	travel
Find me nearby Lotus store	nearby
Is the icici bank open today?	nearby
Tell me distance between hunli to goa	travel
Tell me yrains from wardha to nagpur	travel
How much more tym will train 12033 take to reach new delhi station	travel
My flight is on October 27th	travel
Can you Suggest to me hotels in liluah, for 15 guests.	travel
I need to order fruits	food
Turn off water reminder	reminders
Wht is the lowest price of iphone 5s	shopping
Wake me up After half an hour to off the motor	reminders
Indian restaurants north indian food nearby?	food
Laundry: T-shirt-5 Shirt-4 1-boxer 1-shorts 2-hankies 1-socks 2-banyan 1-pant	shopping
Horror movie	movies
Want to pay postpaid voda...plz adv	recharge
Please help me find best headphones below Rs.700/-	shopping
Again check the full sleeve jersey of CRISTIANO	shopping
Remind me about saketh aadhaar card work tomorrow morning at 11	reminders
any tamil movie?	movies
What is the distance from Chennai Central Station to Kochi	travel
Which movie is best for watch..	shopping
Aquarium cleaning services	support
My wake up alarm is still not cancelled	reminders
Show me some yellow with pink lahenga	shopping
Where is the nearest hdfc bank	nearby
I have taken the flight	travel
Dominos ka sab sai sasta regular pizza kitne ka hai ?	food
Which movie is running in srinivasa theater ?	movies
Can you place an order from niteout for 1 awadhi kheer and 1 water bottle.. tell them to bring change	food
Samsung j3 pro price?	shopping
i want 2gb - 5gb in month	travel
Still I could not get refund of Airtel recharge remaining amount	recharge
Mujhe Vodafone postpaid ka call detail check karna hai kaise karu	recharge
Can you help me with Trains please	travel
Set reminder for today to call Anand and Friends for get together at sharp 7.00 pm today	reminders
Can u tell me ticket price of 3A	travel
Hey, can I get a list of restaurants around my area that deliver breakfast?	food
Cheapest flight from lucknow to delhi tomorrow	travel
Whether u I'll give any cash back offer	shopping
Remind me at 11 am to call gkwale to check on status of the photo	reminders
Please cancel this remainder I told u	reminders
Pl mention about the money... Not a general reminder	reminders
I need the best price for SF inverter tubular type battery 105 ah in chennai	shopping
i want music band watch with connected with bluetooth	shopping
Could you tell me the price of the 5:15 show at amanora?	shopping
Nyc lipstick from shoppers stop colour is cairns	reminders
Do you have any paytm offers on Vodafone bill payment?	recharge
Vodafone mai 4G start kab hoga??	travel
Laxmi studio	nearby
Can u pls book ticket for 12070	travel
near me sbi bank	nearby
Ripped jaggis for women	shopping
Remove wake up call	reminders
Nearby HTC care centre	nearby
Can you search polyurethane conveyor belt manufacturer in india	shopping
Orange tours and travels buses	travel
Do you have Flipcart and Amazon coupon code	shopping
Pick up portable charger	shopping
Its available from tenkasi to Chennai on Oct 31in bus..	travel
Pizza world	food
Any movie in English or hindi but with good reviews	movies
What are the criterias for cancelling my train ticket?	travel
yesterday u said there was a train to kasara from vikhroli station at 12:30 pm	travel
Track my flipkart order no FMPC0153551205	shopping
Any free premeir movie  tickets avalable	movies
Ny other cab apart frm ola?	travel
Can I get biryani non veg	food
jbl flip 3	shopping
I want to buy button cell	shopping
Lounge bar in kolkata	travel
last four trains	travel
Hello mam can you plz tel me nearby ASUS mobile service centre???	nearby
Can u recharge again	recharge
Find me 2 photo studios near sai veg world restaurant in Goregaon east	food
Find me a bus to airport	travel
Hey is there any royal cruser bus from haldwani(263139) to dehradun??	travel
What could be the best place to visit in December for honeymoon	travel
Tckt Rates?	travel
Call from u	reminders
U can book hotel only in india ?	travel
Give me the best flight fare Bangalore to Kolkata .. 16dec 2016	travel
Feeling hungry get me some restaurant	food
need mutton biryani papadams	food
And send me the list of shows on sunday	travel
I want running shoes	shopping
Near  Patangali store near tirlok puri	nearby
Departure time	travel
Hey.. I had asked for carpenter service. The carpenter came on Saturday saw what was suppose to be fixed and told me he would come on sunday morning to fix the problem	travel
Jio plans	travel
Reserve the booking of two seats	travel
Hi my teakwood chest has been slightly damaged. I need a carpenter/ woodworker to come home and have a look at it and see if it can be fixed. Would you be able to help with that? Thanks	travel
Remind me at 4.30 to go to gym	reminders
Pnb bank	nearby
Give details about iPhone 7	shopping
Motorola service center in Delhi??	support
Purchase men belt	shopping
Can u book me the tickets noe	travel
What are the travel packages	travel
Find me a train	travel
Do we have  deals on iPhone 6	shopping
Hey wanted to see some adidas shoes for men...could you plz help me with some options	shopping
bsnl 3g plan of 125	recharge
Due you have any coupon for dominos	food
Food delivery at this time possible?	food
Can you give me a holiday plan from 22nd December from Ranchi onwards till 2nd January preferred destination Srilanka,kerala back waters,cochin etc	travel
Any recent holidays	travel
Want to buy black formal belts	shopping
Ok can you tell the deal on Samsung A7 2016	shopping
I want to purchase moto e3 power	shopping
Cheaper power bank in good discount	shopping
Is RTC buses running today in Hyderabad??	travel
Vodafone m call rate km krne ke offers bta skte ho	recharge
i want to purchase bt i will purchase in new year	shopping
I want to buy Yepme Red Solid Quilted Jacket.{product_id:AD3398242FB7CF928BC7A00EF92C5892, product_name:Yepme Red Solid Quilted Jacket, api_id:1, api_name:shortlyst}{carousel_cta}	shopping
A haunting reminder	reminders
Tuesday 13 th from Hyderabad	travel
Want to travel rajkot on Friday evening near by 6pm so what should be best transportation way	travel
What are all the show timings for pink at seasons and amanora and nitesh hub?	movies
Hii could you please tell me the distance between Pune and Indore	travel
Check availability of seats for tomorrow show in the morning	travel
Call me to wake up	reminders
I would like uber	travel
call me	reminders
OK. Now pls tell me if I book the entire journey in one ticket what will be the fare & any concession on single ticket booking?	travel
Ok go ahead and book the appointment but will they be taking any visiting charges before starting the work ?	travel
I am going to banglore tomorrow and want a breakfast at anand bhavan tomorrow in the morning. Can u please send menu of the same restaurant???	travel
Iphone 7 pics & price	shopping
how to go VIZAG on 26th bus or train	travel
From Hyderabad to Manipal	travel
I want front cut kurti	shopping
Frm which restro?	food
Near by reliance shopping mall	nearby
Ya....Mumbai toh goa flight 26 March. ..	travel
Seat,Birth?	travel
Set alarm for morning 7 am	reminders
okhey .!  remind me every 2 hours	reminders
I have to set a new reminder can you do it ?	reminders
Live update of train no. 22405	travel
Any good Malayalam movie for 2nd  show in Chennai??	movies
Hi I am at Taj Bekal. I need a taxi drop to Mangalore airport on Monday morning at 10.30 am. Would need a sedan	travel
Please off my all reminders	reminders
status plz	travel
Yes amount is teken from my account	travel
Mi 5s	travel
Cancel all reminders	reminders
I need a review	shopping
call	reminders
I want to buy micro sd card reader on mobile through otg	shopping
I want a genuine travel company like chariot travels,travel air	travel
Dominos offers for today?	food
Cinepriya theatre	movies
Bay new pendrive sandisk 32 GB otg 3.0 offer	shopping
When will ai reach ahmedabad if I go through 4th January train	travel
Hey vikas i need a plumber	travel
Flight for delhi to allahabad	travel
Looking for warm color 60 watts LED 2700k temperatures bulbs	shopping
Please cancel all my alarms	reminders
Gyno doctor near ulubari	nearby
How much is the ticket for	travel
No reminders from now.	reminders
I need a 2TB or 1 TB HDD which is compatible with PS4.	shopping
Esteem mall having cinema	movies
Inform Jaipur to delhi flight for today	travel
Discount coupons on pizza delivery from dominos	food
Akira Friday 2 seats cinepolis first show pune	travel
Do u  give any food coupons?	food
reminders*	reminders
What movie is on at quest and cinepolis now after 9?	movies
Please help me with the web check in for the return flight	travel
Can i get iphone 7 images and features	shopping
Can you tell me , any Indian bank deposit  machine near to me	nearby
2 chicken Mexican taco (soft) and one cheesy fiesta potato	food
I need hdfc	nearby
Hi need to activate DND on my phone	reminders
Hi can you help me with any travel packages for maldives	travel
Restaurant nearby?	food
I want to buy hair straightener cream	shopping
Hi. Good evening. How can I booking train ticket via with you	travel
Which theater can u book my ticket	movies
Movies at Sangeeth theater in Salem	movies
Tell me train 12628 time shefule	travel
Can u tell me at time intercity express will reach at beawar ? Which goes from ahmedabad to ajmer ? With current running status	travel
Please cancel my daily reminder to cancel my company transport on weekends..it should be just for weekdays and I need only messages from you side would you please cancel the calling feature	reminders
Domino's  pizza mania offers  baby	food
Show please	shopping
hi can u help me in getting online dubai  tourist e visa  for two persons..travel dates 5 to 9 october	travel
Exotic goa	travel
"I want to buy 1.5"" and 2"" hose pipe"	travel
Lenovo mobile service center in jaipur..	support
Give me something on the Coolpad note 3 lite	shopping
Keep on calling again and again untill i answe the call	reminders
What is the distance between Kallakurichi and Pondicherry	travel
Sir, if i take a cab or ola/uber for the same distance? How much will i be charged.	travel
Want to buy shoes	shopping
Is Jungle Book movie running anywhere near my area?	movies
I want to buy a book	travel
Thanx for reminder me pls switch off the reminder	reminders
1bhk flat in kphb	nearby
Ercaud express train route	travel
I would like to know if any deals on Bluetooth headphones	shopping
Plz check raaz rebot show timings in opulent mall gzb	movies
Hi am interested in the 7 nights and 8 days package	travel
Nearest Dena Bank atm?	nearby
Which movie going on in bellary Radhika theatre	movies
Price of apple iPhone 5s 16gb on all ecommerce sites	shopping
Can u remind me about train status leaving from vasai road to diva jn	travel
show me some innergarments	shopping
Loafer	shopping
Tell me features of iPhone 7	shopping
Seat number ???	travel
M searching for an Allahabad bank atm in Prashant vihar	travel
From Mumbai to Kolkata	travel
Pune to jodhpur flight 31 oct return 4 nov 7 adults	travel
Can you check live status of trains	travel
can u book movie tickets in my location calicut	travel
Hi suman can you please check flight from Pune to Lucknow for 7th December	travel
Hey ..I want deals in men's wallet	shopping
where is nearby acer mobile service center	nearby
Which is best Burger King McDonald's	food
I want to buy a nice dress for my birthdat	shopping
I want a book..'when the shoe fits'	shopping
Which colours of socks and price	shopping
Can you check availability for rajdhani from Surat to Udaipur on 31st November	travel
My WiFi router Antenna is broken, can I repair from Vasco Da Gama	support
Please cancel my ticket	travel
Tel me Wt r all the movies running in Arrs at salem	movies
Best way to travel to Bangalore	travel
SBI ATM	travel
Sleeper pls	travel
Hi I need to install a projector @ dharuwera near gugaon. Can u get me a technician	travel
Can you please tell me the offers of dominos for today?	food
Can you please tell me the trains from tirupathi to Nellore after 3 o clock	travel
Could you make a reminder call for me	reminders
Prestige service center in Kanpur	support
Iphone 7 plz	shopping
Don't call to remind me	reminders
I am going to mumbai from pune 2 members please suggest best option to go	travel
Want dominoes deals of day	food
What are the movie timings and prices of tickets of pink at PVR Sion	movies
Tell me the movies screening in mumbai	travel
Restaurants nearby for  food delivery .please search nearby btm	food
Can you web check in for my flight?	travel
Tell me the best possible route to travel Greenland from Mumbai or Delhi	travel
Deals for power bank and pilot shots and nucleya shirts	shopping
What all colors?	shopping
Hey, can you give me movie show timings of south city moll?	movies
Ahmedabad to raipur air fare kya prise	travel
I need a seconand mobile with 3gb ram	shopping
Is the train 12275 delayed at the origin station	travel
Rajdhani or satabdi seat availability from jhansi to Vadodara	travel
show me some tshirts	shopping
Call again	reminders
Dhule adlabs manohar cinema	movies
Please can you tell me the name of the cinema irumugan runs which hall in chembur	movies
Hi can you find me SBI Bank branch in Okhla phase 1	nearby
I want apple 5 display	shopping
Current status of my train	travel
Lemon tree menu	food
Train ticket availiblity	travel
order south indian thalli	food
Shorts of medium size {task}	shopping
Remind me tomorrow at 11 morning for my pending task for interest reverasal calculation..hitesh sir signature..rbsa report follow up..bkc visit and andheri for vrl	reminders
I want a high power outdoor light	shopping
wish birthday	reminders
I want to buy earphone	shopping
I want to buy a single bed mattress	travel
Hi you tell me date of 16 September any  flight minimum price	travel
Note7	shopping
Ice cream	food
Explain 199 plan in airtel postpaid, tq	recharge
Hey is there any discounts for the flight tickets	travel
Lucknow charbaug station	travel
Plz cancel the alarm and schedule it for 5 pm...	reminders
Coaching classes for abacus	travel
Heels	shopping
I wanna smart phone under 5000rs	shopping
No I want a ticket for today	travel
Get me seat availability for tommorw Aandavan kattalai movie in amirtham theater madurai	movies
Can u help me find the nearest reliene store	nearby
I need study table	travel
Hi pooja	travel
Remind me a day before	reminders
Hey I want to reserve a table	food
I wanna jockey socks	shopping
Please activate DND on my phone	reminders
Is there any karnataka bank near to my location	nearby
Hie...I want some food on delivery at my place could you help	food
Hey can you remind me to submit my medical certificatw tomorrow	reminders
Menu of barbeque nation, sayaji hotel pune please	food
Can you please help me by sending my flight ticket on 30th September	travel
which socks	shopping
I want buy a pair of basketball shoes	shopping
where is dominos nearby	food
Joshny tell me one thing till what time I have to book tatkal ticket for tonight train	travel
I want to buy usb 3.0  16gb otg pendrive below 500	shopping
Wat abt irumugan review	movies
Chicken bonelesswith 4pieces	food
Some good restaurants in andheri	food
I want to buy Bingo U8 Smartwatch  (Black Strap){carousel_cta}	shopping
4 g data pack for idea	recharge
Cakes	food
What's the ticket fate	travel
Nearby chinese food	food
I'm seeking new action movies	movies
Hey bro I am absolutely searching about this iPhone 7 bro plz send me Iphone 7 price and photos	shopping
How to go to bhutan from guwahati Assam	travel
iPhone 7 launched ??	shopping
Can you give me best theme restaurant address and menu	food
Mumbai to Hyderabad	travel
Remind me to order masala dosa for my mother at 2 pm on saturday.	food
Which BEST bus number that go from andheri station west to z luxury residency hotel juhu tara....	travel
Off per ticket?	travel
https://www.google.co.in/url?sa=t&source=web&rct=j&url=http://www.amazon.in/Mens-Cotton-Sports-Track-Pant/dp/B00SZSUA2W&ved=0ahUKEwjKu6-y6-bOAhVKro8KHWjGDuMQFggmMAM&usg=AFQjCNF0RFYr-N9TpXDOwmmoRVAMIJlpow&sig2=pMGE5mDzaLmkJXenFnyh7g	shopping
I want to buy a mobile	shopping
Can you please try the web check-in	travel
I want axis Bank ATM	nearby
Any restaurant near by	food
50% on jabong?	shopping
Hi,  Can you tell me what will be the best season to visit sikkim,  rohtang pass??	travel
IPhone 5s price	shopping
live running status of kanyakumari bangalore express	travel
I want to know bus bookings from Hyderabad to nagpur on 28th october	travel
Watz d ticket price	travel
I want to book ticket thane to lonavala at the date of 24 September	travel
I want t shirt with my name.	shopping
Yap thanks.  ..fr the reminder.	reminders
Suggest me a good mobile	shopping
Hi Monik! Smart Wearables & Accessories are the hottest trend of 2016. I have handpicked the best ones under Rs.1499. Check them out now :)	shopping
New Kannada movies pls	movies
Samsung galaxy garden 2 battery	shopping
Want to purchase water dispenser	shopping
I need to go to agra cantt from tirur station on 6th of october any train availability?	travel
Yes. What are the confirmation chances of getting tatkal waiting list 21 ticket	travel
Can I get the tickets for kabbdi World Cup here ?	travel
Hotels in Saharanpur	travel
May i have some more options in puma sport shoes	shopping
Where to stay in Bangkok	travel
I wan bus from pune to akola(444001) at 8 pm	travel
Hi punit Can u reminder to my mom to take her tablet	reminders
Best smart phone under 5500rs	shopping
I'd like to order from Baskin Robbins	shopping
Hey which terminal do indigo flights to Kolkata take off from	travel
Or hongakong del	travel
Smart phone at rs1600	shopping
Train timing from Badnera to wardha	travel
I want bra	shopping
Courier service	nearby
Can u help me with train timings for tomorrow from ERODE to MYSORE at the early morning	travel
Planning to go to Spain	travel
Sir which is the best rate cutter plan for my dis no.	recharge
Vythiri resort kaha hai	travel
Nearest cng pump	nearby
Tel me mi service centre in thane west	travel
Golgumbz express timing plz	travel
Hello I want to book hotel in jaipur	travel
Dominos offer for today	food
Find a theatre in Guntur...	travel
Vijayawada	travel
This hotels are long show any near by hotels	travel
Any malayalam movies in goa	movies
Call me 7.30 am 2mrw	reminders
Please stop the reminder	reminders
Can u tell me abt any tata sky offers on recharge	recharge
I need to know nearest petrol station	nearby
I want to activate dnd on my 6s	reminders
Can you book me an ola share?	travel
Please set reminder for me for medicine1 again today and everyday at 10.00 am and 5 PM and 3 pm for medicine 2	reminders
i have micromax canvas colours 2 cell	shopping
Packages for Diwali holiday in a budget of 20000 per couple	travel
I didn't recieved a wake up call	reminders
call me twice, at a gap of 10 mins	reminders
32gb sd card	shopping
Hi I'm looking for home delivery of breakfast	food
movie ticket plz	movies
Can you tell me the shortest route to bhopal	travel
I want confirmed train ticket on 27 from secunderabad to howrah can you..?	travel
And Drink Water Reminder K Liye Call krna	reminders
Tour package for sikkim	travel
Today 10.30 am set remind for t.p.change..	reminders
How to stop particular reminder	reminders
I want to see the SBI ATM	shopping
Cheapest hotel in goa	travel
I want ticket of konark exp. From dadar to Pune on Tuesday 20 sep 2016	travel
Tally coaching centre	nearby
Get me food delivery options in DOMBIVALI east midc area	food
Near kdk college nagpur	travel
Can u send me link of golden color back cover	shopping
What is the price of 32 gb	shopping
Stop all the reminders  please	reminders
Can you check the flight prices for Singapore to Medan	travel
Where is the nearest syndicate bank?	nearby
Hookhabar near..	nearby
Which Hotel provides egg biryani nearby	food
may i know the train list guwahai to dibrugarh	travel
Offer for shoes of reebok or nike	shopping
Any SBI atm	travel
Hei can u hlp me. Today my bf come in bhubaneswar urgently .bt he cant reserved train or bus. .can u told me..haldia to bhubaneswar which train or bus are available today. .	travel
I ll drink rasam	food
Hey could you find me a nice pair of wireless headphones below 1500 rs	shopping
any coupons for indigo flight booking ??	travel
Near by escort service	nearby
Best price for flight ticket for delhi to Barnaul	travel
Can u help me with the travel packages	travel
Please cancel all my reminders	reminders
Hey .. take a reminder for tomorrow..	reminders
Activate dnd call	reminders
And can u also check for the return to mumbai on 18th of december?	travel
V3s mall	movies
Okay remind me every 30mins	reminders
Ram ram	travel
Can you give me full schedule of train no. 12472	travel
I want pizza	food
Nearest theatre	movies
I wanna book a flight	travel
Is there any bus service	support
Dental lab technician	travel
Plz cancel my reminders	reminders
Not a call	reminders
Is it possible to catch a 11am flight at Chandigarh  by starting at Palampur early in the morning	travel
Give me some best ear phones list	shopping
I want to purchase a microwave	shopping
128GB price?	shopping
I want to know train available   From sirdi to raipur	travel
When wl tatkal for AC open...10 am or 10:30	travel
Can you tell me nearby tiles store	nearby
I wanted to buy the monk who sold his ferrari	shopping
Redmi 3S (Dark Grey, 16 GB) is available on Flipkart for Rs. 6999.0.	shopping
Set the same reminder for 10am	reminders
I want skins for iphone 5s in Cash on delivery	shopping
Can you check seat availability for goa by Train for 14th October	travel
Hey can you show me le 2 cdla earphones	shopping
Don't set up any Appointment	reminders
Can you get me the details of bsnl 3g postpaid pack...	recharge
Review of suicide squad	movies
Call me  on at  9461154613!	reminders
Library near santacruz	nearby
which is the nearest italian restaurant iN bellandut	food
Any coupon for uber/ola	travel
new Delhi to kolkata by train 29sep	travel
There is any near stationary shop.	nearby
17416 train right now	travel
Hey, can you find me the nearest Apollo hospitals?	nearby
I want to buy maggi	food
Yes. 2 economy return tickets for Delhi-Chennai. Departure from Delhi early on 9th October and return late on 11th October.	travel
Please stop the reminder of drink water.. i got an habit of it. And thnks for making it fruitful	reminders
Check train tickets for Jabalpur to pune	travel
I want to check nearby Mens Parlour	travel
Another reminder please	reminders
Remind me to keep fast for navratre	reminders
You will send me the train ticket was available	travel
You didn't woke me up	reminders
Hi, I want to book tickets for PINK.{task}	movies
I need Innova from bangalore to trupti	travel
Whats the price of iphone 7 plus jet black colour 128 gb	shopping
Any discount available for ola rides?	travel
It is available on amazon	shopping
Can u assist me with some sports shoes?	shopping
The expected delivery date of an order in snapdeal was yesterday.but it was not delivered	shopping
Remind me to go for auditions on 25 September at 8 am	reminders
Train raipur to raigarg	travel
Can you please give me a reminder to go to the local shop	reminders
Remind me to collect the top on 29th September	reminders
I need slim fit in 40 long size I am to lean	shopping
Wana know town bus number to travel from thoraipakkam ptc busstop to Thiruvanmiyur	travel
Looking for a cheap and good hair trimmer. Can u plz suggest?	shopping
I want to book tickets for pink	movies
Bus stop koyambedu	reminders
Find me trains from LDH to Dalhousie	travel
Hi help me with the current flight status of flight number SV-5446 from Jeddah to Kolkata. This is a Saudi Haj flight.	travel
Remind me to call gifty	reminders
Bhaijaan	travel
From dominos	food
Ok good how to set reminders	reminders
Tamil mv in central pvr	travel
Remind me at 12	reminders
Where are seats	travel
Give me options of 5 star hotels in Lonavla	travel
1495 30gb airtel 3months recharge I can't find	recharge
Can u find mitorola service center in mumbai	travel
No i want cheapest mobile speakers	shopping
Shoes for girls within 600	shopping
When will Train number 16525 reach ottapalam?	travel
trichy to kanoor 13.9.16 .evanig 2class sleeper.	travel
Nearest pet shop where I can buy an aquarium	nearby
Low cost restaurants for north indian dishes	food
Tell me the coach position	travel
Leakage issue	travel
Seat availability for 12791 from Peddapalli station to Jabalpur boarding in Peddapalli on December 29 sleeper class and 3rd AC	travel
What are the morning show timmings for akira in cinepolis world trade park and first cinema	movies
Whats the price of iphone 6	shopping
Can you book tickets	travel
Details for i phone 7 with pricce	shopping
Do u guys help with the rescheduling of train ticket also	travel
Can u please check with the airlines the exact date ?	travel
Plz check is their any conform tickets available in guwahati exp	travel
White shoes for women	shopping
What r the cab services from kurukshetra to badrinath	travel
Kuppam to Mangalore trains	travel
I need to schedule some reminder	reminders
Movie time for pink in inox varun beach visakhapatnam	movies
Sex toys deals	shopping
Mumbai to shirdi total km	travel
Show me some option for plazzo	shopping
I need the most reasonable movers n packers for Mumbai to blore	travel
I want to book 3 tickets for the Rs. 150/- slot	travel
Zingy u have	travel
Can you find menthe cheapest flight ticket from delhi to imphal today	travel
Want a taxi	travel
Iphone 7 features ?	shopping
Apart from Toofan no other train available?	travel
Hi I want to watch parched	shopping
Need a cab from Mumbai to pune	travel
Full balance 9993920479	shopping
Plaining to go to Goa	travel
Would you tell me any train via Visakhapatnam	travel
Provide me the list of the resturant n hotels who dilever food at home	food
PNB bank ATM	nearby
I would like to cancel the reminder call pl	reminders
Dont call me for reminding	reminders
Deactivate my all reminders and alarm	reminders
Oh wat Abt Hand bags Below 600	shopping
We wish to travel to Mandvi Beach in Kutch, Gujarat on 30th Dec  to 1st Jan . The resort we have identified is Serena Beach Resort. Can you let us know the availability and the best deal in that Resort or give any other options of resort at Mandvi. We want 4 to 5 rooms. Can you help.	travel
Yup set it daniel	travel
I want cricket sports shoes	shopping
Is roaming free for reliance JIO sim inside India?	recharge
Hey can you find me Meizu service center nearby me	nearby
Mobiles?	shopping
Need a cab from delhi intl airport to chandigarh	travel
Could find  bsnl store near to me	nearby
Mac coffee	food
The reminder is that u have to go shop	reminders
Canon 5d camera price ???	shopping
I want to buy firstcopy burbery loafers	shopping
Any book stall near sollinganallure	travel
I phone 7 review	shopping
Movie theater	movies
Pic review please	movies
Remind me to call lalit..@5:45pm..I gave to Sought out the Matter with him	reminders
Give number if eagle patel and neeta travels	travel
Set remiinder to arrive home	travel
I want shoes	shopping
Pink movie sit availability pvr diamond plaza fr the 4:55 show today	movies
Place to visit in merrut	travel
Hey Hey want to plan a birthday lunch for my friends on  15th October Saturday for lunch... At khar Socials.. .  Can you let me know what offers or special packages they will be having  for lunch. There will be 40 ppl	travel
I want to go from delhi to mount Abu	travel
I need to plan a trip to north east for 5 days in December	travel
Is Hyderabad to Indore flight on time..?	travel
Promo codes for domino's pizza	food
iPhone 7 features	shopping
Full talktime BSNL Madhya Pradesh	travel
Laptops	shopping
I want to know the train from Howrah to Odisha	travel
Can you tell me about any goa packages??	travel
I will go to Vrindavan for a function on 6 and 7th November 2016, plan a proper trip for me. Please	travel
Give me prices for flight from delhi to dehradun on 29th of this month	travel
online wallet mobikwik or paytm offer for adding money	shopping
Dth ke recharge ke liya kya krna hoga	recharge
Reminder to check ios 10 update on 13 september	travel
Moto g4 plus 32 gb black	shopping
Nearest Punjab national bank office	nearby
Nearest icici bank atm?	nearby
Flat for rent	nearby
Could you tell me the Pune Mumbai flight timings for tomorrow afternoon post 2 PM	travel
Remind me by messaging me to drink water..do not call	reminders
What are the charges for home delivery for Kaju's pizza?	food
IS thiS information from Abhi buS.com????	travel
A simple dress for a teen girl	shopping
I want pair of formal shoes	shopping
Tell me the movies on cinemas	movies
I am having lenovo mobile with warranty	shopping
Hello can u help me with the train number 12935 coach position of D2	travel
iPhone 7 is available in the market???	shopping
No trains by 9:50	travel
I want to book a movie ticket	movies
dbs bank near me	nearby
Janta sahkari atm	travel
Nearby MICROMAX SERVICE CENTER	nearby
Where is Kanglei Fast food ?	food
Looking for best recharge options for data around 2-3 GB at best cheap price	shopping
Pl.send d timings of train from CST to PUNE after 02.45 pm onwards on today.	travel
Show me paragon canvas shoes	shopping
2 tickets for the month of November one way	travel
Gaya to jaipur seat availability 6nov 2016	travel
Plz tell me nearest theater to Gandhi Krishi Vigyan Kendra (GKVK) and which movie running on that theater	movies
what is the price of gionee p5l	shopping
Get me return train timungs from asr to ldh tommorow morning	travel
I want iphone 5s in silver colour	shopping
Buy now Samsung BHM1100NBEGINU	shopping
Xiaomi note 3 - 32 gb. Silver. Is it available on any website and at what cost?	shopping
Am looking  for 4 days package	travel
The flight I booked with you	travel
I want to fly to Goa...pl suggest me some flights..	travel
But what's my seat number	travel
Get me the status of my ticket	travel
Can i have nice decal for mac book pro under 200	travel
Any chicken dish for one?	food
What the cost of iPhone 7	shopping
Please cancel all my reminder calls	reminders
shoes	shopping
Please send train tatkal availability nagore to chennai date 27.9.2016 tomorrow	travel
Reliance store near royapuram	nearby
Can you tell me any reliable cab service which will ply between chanigah to manali and Dalhousie. I am travelling with family - so this has to be well rated	travel
I want to book railway ticket	travel
want to know flight and train availability n price for 30 September	travel
Hi how about an electrician , he never came	support
Train and car travelling with same speed say 80kmph, who cover more distance? Amd justify ur answer	travel
I wanna stop dis reminder	reminders
Check any ladies braslet cost of 200 with delivery service	shopping
Hey, needed to book a cab for 3.45am today..	travel
Looking for biryani	food
We have no announcements for boarding of that flight	travel
Can u pl tell me hotel Goa's pearl address, Candolim..	travel
Show me show timings of kstar movie a vasai	movies
Can I have Yatra.com international flight customer care no	travel
Movies thus Friday?	movies
i ball care service centre	support
Samsung j series ?	shopping
Hi am looking to buy a good smartphone up to 25k can u help me with it	shopping
Hi, can you pls tell me....is there any direct flight from jaipur to indore	travel
Stop these reminders	reminders
I want to buy a dumbels	shopping
Nearest Metro Station to ojas Institute of mamagement	travel
Charges of one cheetza is KFC with taxes?	travel
7 tickets from hyderabad to kottayam train	travel
Any buy one get one free in pizza?	food
Please tell me tickets of shatabdi	travel
I want to cancel a circular train ticket of tomorrow	travel
Give me all the colour models of pulsar 150	shopping
Need food order	food
Plz find icici bank my near location	nearby
Trains from Bangalore to Mumbai kalyan	travel
